Bahan,Lanmadaw,Yankin,South_Oakklar,Hlaing,Sanchoung,Condo_name,Total_Area_squft,Bedrooms,Bathrooms,Swimming_Pool,Security,Gym,Has_Elevator,Has_Parking,View_type,Price_USD,log_price
1,0,0,0,0,0,West Shwe Da Gone Condo,972.0,2,1,0.0,0.0,0.0,1,0,City View,77777.78,11.261623922320588
1,0,0,0,0,0,Yuzana Condo,1250.0,4,2,0.0,0.0,0.0,1,1,Shwe da gon View,113333.33,11.638097402003213
1,0,0,0,0,0,Yuzana Mini Condo,1250.0,4,2,0.0,0.0,0.0,1,1,Shwe da gone View,113333.33,11.638097402003213
1,0,0,0,0,0,Yuzana Tower,1800.0,3,2,0.0,1.0,0.0,1,1,City View,133333.33,11.800615012394072
0,0,0,0,1,0,Ngwe Aein San,927.0,3,1,1.0,1.0,0.0,1,1,Street View,2444.44,7.801980344818481
0,0,0,0,1,0,MICT park condo,1000.0,3,2,0.0,0.0,0.0,1,1,City View,87777.78,11.382575064763323
0,0,0,0,1,0,Golden Parami,1283.0,1,1,1.0,1.0,0.0,1,1,City,12888.89,9.464198562149729
0,0,0,0,1,0,Golden Parami,1330.0,2,1,0.0,0.0,0.0,1,1,Lake View,21333.33,9.968072791332412
0,0,0,0,1,0,Golden Parami,1302.0,3,2,1.0,1.0,0.0,1,1,Street View,244444.44,12.406747413711305
0,0,0,0,1,0,Golden Parami,1090.0,2,1,0.0,1.0,1.0,1,1,Lake View,11777.78,9.374054886477289
0,0,0,0,1,0,Golden parami,1803.0,3,2,1.0,1.0,1.0,1,1,City View,140000.0,11.849404844423074
0,0,0,0,1,0,grand mya kan thar,980.0,2,2,1.0,1.0,1.0,1,1,City View,188888.89,12.14891953167618
0,0,0,0,1,0,khine shwe yee,1300.0,3,3,0.0,0.0,0.0,1,0,City View,1311111.11,14.086386273963791
0,0,0,0,1,0,Mahar Swae,890.0,1,2,0.0,1.0,0.0,1,1,City View,39555.56,10.585486825433971
0,0,0,0,1,0,Mahar Swae,970.0,2,4,0.0,1.0,1.0,1,1,City View,5200.0,8.556606193773073
0,0,0,0,1,0,Mahar Swae,1020.0,2,5,0.0,0.0,0.0,1,1,City View,8777.78,9.080092724810408
