Bahan,Lanmadaw,Yankin,South Oakklar,Hlaing,Sanchoung,Condo name,Total_Area_squft,Bedrooms,Bathrooms,Swimming Pool,Security,Gym,Has_Elevator,Has_Parking,View_type, Price_USD 
1,0,0,0,0,0,Phoe Sein Condo,2850,3,3,0,1,0,1,1,City View,"$188,888.89 "
1,0,0,0,0,0,Phoe Sein Condo,1750,3,2,0,1,0,1,1,City View,"$62,222.22 "
1,0,0,0,0,0,Phoe Sein Condo ,1900,3,2,0,1,0,1,1,City View,"$115,555.56 "
1,0,0,0,0,0,Pike Lone st mini condo ,972,1,1,0,1,0,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Poe Sein Condo,1900,3,2,0,1,0,1,1,City View,"$115,555.56 "
1,0,0,0,0,0,Royal Myanmar mini Condo,1020,2,2,0,0,0,1,0,City View,"$64,444.44 "
1,0,0,0,0,0,Royal Phoe Sein Condo,8500,3,3,0,1,0,1,1,City View,"$188,888.89 "
1,0,0,0,0,0,Royal Phoe Sein Condo,2860,3,4,0,0,0,0,0,City View,"$144,444.44 "
1,0,0,0,0,0,Sakura Palace Condo,1370,3,2,0,1,0,1,1,City View,"$131,111.11 "
1,0,0,0,0,0,Sevilla Residence Condo,1690,2,1,1,0,1,0,0,City View,"$351,111.11 "
1,0,0,0,0,0,Shwe Gone Daing Tower Condo,1500,4,3,0,1,0,1,1,City View,"$110,666.67 "
1,0,0,0,0,0,Shwe Gone Tai Tower Condo,1500,4,3,0,0,0,1,1,City View,"$110,666.67 "
1,0,0,0,0,0,Shwe Gone Tai Tower Condo,1700,2,2,0,0,0,0,0,City View,"$117,777.78 "
1,0,0,0,0,0,Shwe Gone Tower Condo,1500,4,3,0,0,0,0,1,City View,"$110,000.00 "
1,0,0,0,0,0,Shwe Taung Gyar Condo,2100,3,3,0,1,0,0,1,City View,"$220,000.00 "
1,0,0,0,0,0,Shwe Taung Gyar Condo,2100,3,3,0,1,0,0,1,City View,"$220,000.00 "
1,0,0,0,0,0,Shwe Taung Gyar mini Condo,2000,2,1,0,0,0,0,0,City View,"$144,444.44 "
1,0,0,0,0,0,Shwe Than Lwin Condo,3600,3,2,0,0,0,1,0,City View,"$300,000.00 "
1,0,0,0,0,0,Shwe Yiek Mon Condo,1600,3,2,0,0,0,0,0,City View,"$333,333.33 "
1,0,0,0,0,0,Shwe Yiek Mon Condo,1600,3,3,0,1,0,1,1,City View,"$333,333.33 "
1,0,0,0,0,0,Tak Lann Mini Condo,1566,3,1,0,0,0,0,0,City View,"$132,222.22 "
1,0,0,0,0,0,Tak Lann Mini Condo,1566,2,1,0,0,0,0,0,City View,"$102,222.22 "
1,0,0,0,0,0,Tak Lann Mini Condo,1566,3,3,0,0,0,0,0,City View,"$97,777.78 "
1,0,0,0,0,0,Taw  Win Myanmar mini Condi,1020,2,1,0,1,0,1,0,City View,"$77,777.78 "
1,0,0,0,0,0,Thakatto Yiek Mon Condo,1250,3,2,0,1,0,1,1,City View,"$122,222.22 "
1,0,0,0,0,0,Thakatto Yiek Mon Condo,1450,4,3,0,0,0,1,1,City View,"$133,333.33 "
1,0,0,0,0,0,Thakatto Yiek Mon Condo,1480,4,3,0,1,0,1,1,City View,"$133,333.33 "
